date,market,value
2021-01-04,-0.00681296,-0.00139992
2021-01-05,0.00334078,-0.00093757
2021-01-06,-0.01098308,0.00291143
2021-01-07,0.00237085,0.00298284
2021-01-08,0.01700918,-0.00255953
2021-01-11,0.00816018,-0.00158033
2021-01-12,-0.01209860,-0.00250888
2021-01-13,-0.00343011,0.00445208
2021-01-14,0.01007551,-0.00253328
2021-01-15,0.00466174,0.00118855
2021-01-18,0.00620957,0.00282777
2021-01-19,-0.00681387,-0.00144969
2021-01-20,-0.00232873,-0.00687433
2021-01-21,0.00341712,0.01043944
2021-01-22,-0.00602338,-0.00277209
2021-01-25,0.00559764,0.00534462
2021-01-26,0.00065626,0.00501105
2021-01-27,0.01523506,0.00713676
2021-01-28,0.00444248,-0.00464688
2021-01-29,-0.00895163,0.00401924
2021-02-01,-0.02571408,-0.00148392
2021-02-02,-0.00888094,-0.00707108
2021-02-03,-0.00046761,-0.00465842
2021-02-04,0.01264757,0.00308653
2021-02-05,0.00063865,-0.00475140
2021-02-08,-0.00109466,-0.00326594
2021-02-09,-0.00182943,0.00034992
2021-02-10,-0.00472459,-0.00029709
2021-02-11,0.00308224,-0.00372225
2021-02-12,0.00628939,-0.00499254
2021-02-15,0.00414582,0.00487794
2021-02-16,-0.00846317,-0.00348698
2021-02-17,0.00938369,-0.00264287
2021-02-18,-0.00685846,0.00177827
2021-02-19,-0.00291964,-0.00085905
2021-02-22,0.00208588,0.00342872
2021-02-23,-0.00962139,0.00561902
2021-02-24,0.00427122,0.00208933
2021-02-25,0.01000171,0.00212373
2021-02-26,0.00618571,-0.00697783
2021-03-01,0.01151611,-0.00203563
2021-03-02,-0.00470480,-0.00594100
2021-03-03,0.00069058,0.00654095
2021-03-04,0.00119954,-0.00642888
2021-03-05,-0.00601664,0.00085552
2021-03-08,-0.00566782,0.00373025
2021-03-09,0.00083348,-0.00016649
2021-03-10,0.00285453,0.00792459
2021-03-11,0.01229914,0.00085470
2021-03-12,-0.00027081,-0.00534488
2021-03-15,0.00463440,0.00072145
2021-03-16,0.00443740,0.00064874
2021-03-17,-0.00771949,0.00381918
2021-03-18,0.00765618,0.00696860
2021-03-19,-0.00616375,-0.00332604
2021-03-22,-0.00371262,0.00017943
2021-03-23,0.01528857,-0.00559262
2021-03-24,0.01153128,0.01213714
2021-03-25,-0.01819726,-0.00672244
2021-03-26,-0.00145209,0.00649545
2021-03-29,-0.00905420,0.00267907
2021-03-30,-0.02051796,-0.00087342
2021-03-31,0.00323914,-0.00753889
2021-04-01,-0.00011911,0.00218522
2021-04-02,-0.01461519,-0.00470193
2021-04-05,0.00630867,-0.00139754
2021-04-06,-0.00240862,-0.00202804
2021-04-07,0.00073458,0.00868202
2021-04-08,0.00351097,-0.00160239
2021-04-09,0.00230289,-0.00439402
2021-04-12,0.00090260,-0.00235227
2021-04-13,0.00694167,-0.00808246
2021-04-14,-0.00727847,-0.00013435
2021-04-15,-0.00875857,0.00070719
2021-04-16,0.00451301,-0.00301677
2021-04-19,-0.00328330,0.00183021
2021-04-20,0.00727580,-0.01057189
2021-04-21,0.01032672,0.00203679
2021-04-22,0.00873770,0.00153747
2021-04-23,-0.00941854,-0.00169490
2021-04-26,0.00469840,0.00000852
2021-04-27,-0.00001653,0.00079687
2021-04-28,0.00060067,0.00032129
2021-04-29,-0.01525422,0.00717645
2021-04-30,-0.00116140,0.00237096
2021-05-03,0.00954453,0.00350059
2021-05-04,-0.00095655,0.00344132
2021-05-05,-0.00044768,0.00522452
2021-05-06,0.00163488,0.00512968
2021-05-07,-0.01474094,0.00935267
2021-05-10,0.01444302,0.00393139
2021-05-11,0.01049722,0.00793680
2021-05-12,0.00389778,-0.00347897
2021-05-13,0.00242960,-0.00422970
2021-05-14,0.00382230,0.00032539
2021-05-17,0.00449969,0.00046169
2021-05-18,-0.00745183,-0.00189877
2021-05-19,-0.01670703,-0.00139420
