date,equity,credit,gold,utilities
2021-01-04,-0.00199325,-0.00620394,0.02466614,-0.00783217
2021-01-05,0.00835780,0.00925673,-0.01838791,0.00536209
2021-01-06,0.00106544,0.00407516,0.00141948,-0.00356311
2021-01-07,0.01486744,0.00530960,0.00080898,0.00440209
2021-01-08,0.02627282,0.00666596,-0.01647493,0.00738446
2021-01-11,0.01526090,0.00671035,0.00307225,0.00640214
2021-01-12,-0.01091515,-0.01507533,-0.01456447,0.00441555
2021-01-13,-0.00960306,-0.00060563,0.00970367,-0.01409568
2021-01-14,0.00704363,0.00043274,-0.01725403,0.00243737
2021-01-15,0.00914881,0.00103064,0.00976441,-0.00266531
2021-01-18,0.01349684,0.00306592,-0.01226340,0.00021332
2021-01-19,0.00284652,-0.01090138,-0.00889478,-0.00324594
2021-01-20,0.00039912,-0.00622036,0.00637131,-0.00809397
2021-01-21,0.00679934,0.00633100,0.00048622,0.00705207
2021-01-22,-0.00080146,-0.00748849,0.01093649,-0.01322401
2021-01-25,0.01492695,0.00896638,0.00301765,-0.00311113
2021-01-26,-0.00384222,-0.00295249,0.00775234,-0.00076373
2021-01-27,0.00859654,0.01773720,-0.00046919,0.00738089
2021-01-28,0.00439004,0.00088362,-0.00454491,-0.00192892
2021-01-29,-0.00754516,0.00208731,0.01232953,-0.00013071
2021-02-01,-0.01612099,-0.01729294,0.00623498,-0.02271184
2021-02-02,-0.00461443,-0.00527626,0.02029853,-0.01491401
2021-02-03,-0.00987732,0.00009286,0.02576283,-0.00216389
2021-02-04,0.02238168,0.01629358,0.00068686,0.01578995
2021-02-05,-0.00394484,0.00114739,0.00134536,-0.00477324
2021-02-08,0.00066669,0.00090450,-0.00385779,0.00062696
2021-02-09,-0.01048584,0.00261366,-0.00012412,-0.00215787
2021-02-10,0.00243552,-0.00176708,-0.00628434,0.00957995
2021-02-11,-0.00374811,0.00948325,-0.00688690,-0.00284062
2021-02-12,0.00284869,0.00739390,-0.00826434,-0.00344435
2021-02-15,0.00504042,-0.00028015,-0.00024319,0.00257841
2021-02-16,-0.02849079,-0.00468055,0.01012733,-0.00866045
2021-02-17,0.01053703,0.00152831,0.01417075,-0.00216065
2021-02-18,-0.01625766,-0.00468962,0.00466771,-0.00827986
2021-02-19,-0.00175193,0.00404595,0.00562642,-0.00310894
2021-02-22,-0.00688321,0.00004766,-0.01758504,0.00565901
2021-02-23,-0.01805795,-0.00486429,0.00191116,-0.00043518
2021-02-24,0.00923148,0.00228679,-0.01340005,0.00805955
2021-02-25,0.01725685,-0.00131742,-0.00951929,0.00891832
2021-02-26,0.01333775,0.00630432,0.00842047,0.00295029
2021-03-01,0.01027497,0.01057242,-0.00072221,0.01421897
2021-03-02,-0.01419970,-0.01225263,0.00511305,0.00212179
2021-03-03,-0.00506336,-0.00483815,0.00192672,0.00226352
2021-03-04,-0.01342335,0.00154976,-0.01500535,-0.00168126
2021-03-05,-0.00725646,0.00042364,0.00152750,0.00190410
2021-03-08,-0.01410145,-0.00228965,0.00156147,0.00331034
2021-03-09,-0.00871056,-0.00669932,-0.00418415,-0.00432400
2021-03-10,-0.00193833,0.01432091,-0.00559794,0.00982572
2021-03-11,0.01600504,0.00716896,0.00966291,0.01429949
2021-03-12,-0.00240115,-0.00966142,-0.00720837,-0.00118049
2021-03-15,0.01782943,-0.00005418,0.01508444,0.00728706
2021-03-16,-0.00154814,0.01227841,0.00035407,0.00003197
2021-03-17,-0.00113964,-0.00842184,-0.00119200,-0.00073929
2021-03-18,0.01657432,0.00093162,0.00887091,0.00752747
2021-03-19,-0.01274978,-0.00491484,0.00617631,-0.00857237
2021-03-22,-0.00211357,0.00240008,0.00671457,-0.00134751
2021-03-23,0.02386799,-0.00562110,-0.00246797,0.00088561
2021-03-24,0.01718083,0.00615955,0.01442957,0.01113876
2021-03-25,-0.03218523,-0.01423127,0.00751988,-0.01823672
2021-03-26,-0.00993122,0.00672134,-0.00047587,0.00421075
2021-03-29,-0.01661684,-0.00543814,0.00892803,-0.00689693
2021-03-30,-0.03893540,-0.01645924,0.02179339,-0.01111350
2021-03-31,0.00795585,-0.00289570,-0.00063143,0.00005574
2021-04-01,-0.00347993,0.00710064,0.01054427,0.00042620
2021-04-02,-0.01812073,-0.00985159,-0.01264872,-0.00070653
2021-04-05,0.00766383,0.00297848,-0.02039385,0.01924521
2021-04-06,-0.00524215,-0.00517495,-0.01414892,-0.00180811
2021-04-07,0.01212842,0.00129501,0.01469221,0.00971324
2021-04-08,0.00303739,0.00610556,-0.00215190,0.00277756
2021-04-09,0.00462688,-0.00106174,-0.01004575,-0.01093742
2021-04-12,-0.00346692,-0.00033388,-0.00434095,-0.00859956
2021-04-13,0.00006255,0.00670386,0.01446208,-0.00498940
2021-04-14,-0.01995965,-0.01307367,0.00444646,0.00034163
2021-04-15,-0.00418046,-0.00619095,0.00867522,-0.00991442
2021-04-16,-0.00267985,-0.00059476,-0.00961083,0.00571126
2021-04-19,-0.00361071,0.00144959,0.01315692,-0.00904573
2021-04-20,0.00514184,0.00023919,-0.00062104,-0.00082728
2021-04-21,0.01320850,0.00301276,0.00069389,0.00327936
2021-04-22,0.01345523,0.00542405,-0.00230213,0.01282174
2021-04-23,-0.01931514,-0.00784426,0.01019242,-0.01114266
2021-04-26,0.00080137,0.01148557,-0.00248947,-0.00544161
2021-04-27,0.00283125,0.00558541,-0.01897150,0.00660477
2021-04-28,0.00225687,0.00578983,-0.00426985,0.00862537
2021-04-29,-0.02718444,-0.00052195,0.00873582,-0.00632977
2021-04-30,-0.00030196,-0.00428761,-0.00832801,-0.00417829
2021-05-03,0.00270113,0.01230991,-0.00255877,0.00918896
2021-05-04,-0.00669681,0.00365485,-0.00383277,-0.00943386
2021-05-05,-0.00227205,-0.00467452,-0.00168781,-0.00175455
2021-05-06,0.01463053,0.00462101,0.00928718,0.01242119
2021-05-07,-0.02892279,-0.00186537,-0.00122351,-0.00960947
2021-05-10,0.03288069,0.01020729,-0.00181037,0.01351762
2021-05-11,0.02074373,0.01143061,-0.01281457,0.01764924
2021-05-12,-0.00276287,0.00243001,0.00070873,0.01012120
2021-05-13,-0.00490273,0.00184383,-0.00378134,0.00593641
2021-05-14,0.00567338,-0.00108118,-0.00680746,-0.00546286
2021-05-17,0.01768717,-0.00167164,0.01637385,0.01691640
2021-05-18,-0.01141548,-0.01150387,0.01432536,-0.00431739
2021-05-19,-0.01596928,-0.01076751,-0.00515861,-0.02155001
2021-05-20,0.00201961,0.00346379,0.01613369,-0.00460095
2021-05-21,-0.00155674,-0.00253748,0.00388180,-0.00406720
2021-05-24,0.00255454,0.00568497,0.01472020,0.01585558
2021-05-25,0.00009290,0.00343895,-0.00085680,0.00972972
2021-05-26,0.00999213,0.01477368,-0.00401808,0.01186785
2021-05-27,0.01950459,-0.00299000,0.01674015,-0.00461597
2021-05-28,-0.00655654,0.00241672,-0.01244882,-0.00639590
2021-05-31,0.01445429,-0.00394519,0.02261655,0.00937287
2021-06-01,0.01657694,0.00046966,-0.01375203,0.00725917
2021-06-02,0.00912861,0.00519383,-0.00299495,0.00580842
2021-06-03,0.00818150,0.01721475,0.01376961,0.03275546
2021-06-04,-0.02261739,-0.00729701,-0.00876400,-0.00982262
2021-06-07,-0.00156332,-0.00256903,0.00521891,0.01186152
